piso_llamada,direccion_llamada,piso_actual_asc_1,piso_actual_asc_2,direccion_actual_asc_1,direccion_actual_asc_2,destinos_pendientes_asc_1,destinos_pendientes_asc_2,personas_dentro_asc_1,personas_dentro_asc_2,tiempo_traslado_asc_1,tiempo_traslado_asc_2,ascensor_sel,cant_pisos
4,1,2,5,-1,0,2,0,1,0,110,3,2,10
5,1,4,8,-1,-1,1,2,1,1,105,63,2,10
5,1,5,6,-1,0,1,0,1,0,52,3,2,10
6,1,7,5,0,1,0,2,0,1,3,7,1,10
4,1,5,4,1,0,3,0,1,0,59,0,2,10
6,1,9,1,-1,0,7,0,1,0,73,15,2,10
8,1,7,6,0,1,0,2,0,1,3,10,1,10
7,-1,9,1,-1,-1,1,1,1,1,8,70,1,10
6,1,9,4,1,1,0,4,0,1,59,14,2,10
5,-1,4,3,-1,1,4,1,1,1,61,58,2,10
2,1,9,3,1,1,0,1,0,1,71,55,2,10
3,1,9,2,-1,1,7,3,1,1,82,9,2,10
3,1,2,9,-1,-1,2,4,1,1,107,76,2,10
1,1,7,8,0,1,0,1,0,1,18,73,1,10
6,1,6,7,0,-1,0,7,0,1,0,67,1,10
4,-1,1,2,1,0,7,0,1,0,73,6,2,10
3,-1,9,3,-1,1,4,5,1,1,26,60,1,10
8,1,9,8,-1,1,4,1,1,1,61,2,2,10
0,-1,5,3,0,0,0,0,0,0,15,9,2,10
4,1,6,7,-1,0,6,0,1,0,68,9,2,10
2,1,1,2,1,0,2,0,1,0,7,0,2,10
4,1,8,1,1,0,1,0,1,0,64,9,2,10
5,1,1,9,0,1,0,0,0,0,12,62,1,10
6,1,5,6,1,-1,3,3,1,1,9,56,1,10
3,1,6,4,0,0,0,0,0,0,9,3,2,10
9,1,8,1,0,1,0,1,0,1,3,26,1,10
5,1,6,4,1,0,2,0,1,0,57,3,2,10
9,-1,2,9,-1,0,2,0,1,0,75,0,2,10
5,-1,2,2,-1,-1,2,1,1,1,63,61,2,10
7,-1,9,3,1,0,0,0,0,0,106,12,2,10
6,-1,1,2,-1,0,1,0,1,0,67,12,2,10
2,-1,7,2,-1,-1,3,1,1,1,21,2,2,10
6,-1,8,4,-1,-1,6,1,1,1,18,58,1,10
5,-1,1,6,0,-1,0,3,0,1,12,9,2,10
4,1,8,5,1,0,1,0,1,0,64,3,2,10
3,1,1,3,0,0,0,0,0,0,6,0,2,10
0,-1,4,5,0,0,0,0,0,0,12,15,1,10
6,-1,8,1,-1,0,1,0,1,0,8,15,1,10
2,-1,2,6,-1,1,2,3,1,1,4,118,1,10
6,-1,8,4,0,1,0,3,0,1,6,62,1,10
0,-1,7,1,-1,-1,6,1,1,1,33,5,2,10
7,-1,8,8,-1,0,4,0,1,0,11,3,2,10
2,-1,1,8,1,1,4,1,1,1,61,120,1,10
9,1,6,7,0,1,0,2,0,1,9,10,1,10
8,1,9,8,0,0,0,0,0,0,3,0,2,10
9,1,7,2,1,0,2,0,1,0,10,21,1,10
6,-1,2,7,-1,0,1,0,1,0,64,3,2,10
2,1,7,1,-1,0,4,0,1,0,73,3,2,10
5,1,2,8,1,0,2,0,1,0,13,9,2,10
3,-1,6,9,1,1,1,0,1,0,111,118,1,10
2,-1,5,5,-1,1,2,2,1,1,13,113,1,10
2,-1,4,1,0,0,0,0,0,0,6,3,2,10
6,1,8,5,-1,0,3,0,1,0,62,3,2,10
7,1,6,1,1,1,1,8,1,1,5,34,1,10
4,-1,1,8,1,0,7,0,1,0,73,12,2,10
2,-1,6,5,0,1,0,3,0,1,12,115,1,10
1,1,3,4,0,1,0,5,0,1,6,69,1,10
9,1,6,3,-1,1,5,6,1,1,119,30,2,10
8,1,1,8,-1,1,1,1,1,1,123,2,2,10
0,1,8,2,1,0,1,0,1,0,76,6,2,10
8,-1,5,9,1,-1,3,6,1,1,65,15,2,10
2,-1,9,5,-1,-1,1,3,1,1,23,15,2,10
1,1,1,3,1,-1,3,1,1,1,6,58,1,10
7,-1,7,1,0,-1,0,1,0,1,0,70,1,10
8,-1,7,8,1,1,2,1,1,1,57,52,2,10
8,-1,3,5,-1,0,3,0,1,0,71,9,2,10
7,1,7,6,-1,-1,4,2,1,1,58,107,1,10
4,1,9,9,0,1,0,0,0,0,15,65,1,10
3,-1,2,1,1,1,1,7,1,1,55,70,1,10
6,1,3,8,1,-1,1,5,1,1,11,66,1,10
7,-1,9,5,-1,1,6,3,1,1,18,62,1,10
2,1,2,4,-1,1,2,3,1,1,54,62,1,10
5,1,8,6,-1,-1,5,2,1,1,69,57,2,10
1,1,6,7,-1,1,3,2,1,1,71,72,1,10
7,-1,8,2,0,1,0,4,0,1,3,73,1,10
8,-1,5,2,-1,1,5,4,1,1,69,76,1,10
0,1,2,5,0,1,0,4,0,1,6,73,1,10
3,1,4,1,0,1,0,1,0,1,3,8,1,10
4,1,3,7,1,-1,2,6,1,1,7,71,1,10
3,-1,1,4,-1,1,1,5,1,1,58,113,1,10
9,1,9,5,1,0,0,0,0,0,0,12,1,10
9,-1,5,5,1,-1,2,2,1,1,66,66,1,10
5,-1,7,3,0,0,0,0,0,0,6,6,1,10
3,1,5,8,1,0,2,0,1,0,60,15,2,10
2,-1,6,7,-1,1,4,1,1,1,20,117,1,10
4,1,5,8,0,-1,0,3,0,1,3,68,1,10
0,-1,1,6,0,1,0,1,0,1,3,120,1,10
2,1,9,1,1,-1,0,1,0,1,71,105,1,10
3,-1,4,3,-1,-1,4,2,1,1,11,4,2,10
5,-1,1,6,0,-1,0,1,0,1,12,5,2,10
6,1,8,7,0,-1,0,4,0,1,6,61,1,10
7,-1,5,9,1,-1,1,9,1,1,58,24,2,10
6,1,7,3,-1,1,7,6,1,1,67,21,2,10
5,1,9,6,0,0,0,0,0,0,12,3,2,10
2,1,6,2,-1,0,6,0,1,0,74,0,2,10
8,1,9,5,1,0,0,0,0,0,53,9,2,10
0,-1,5,7,1,1,3,1,1,1,121,123,1,10
2,1,1,3,-1,-1,1,3,1,1,105,59,2,10
9,-1,5,3,1,-1,3,2,1,1,68,72,1,10
4,1,2,8,0,1,0,1,0,1,6,64,1,10
0,1,1,4,0,-1,0,1,0,1,3,64,1,10
7,-1,6,1,-1,0,2,0,1,0,57,18,2,10
2,1,4,7,0,-1,0,3,0,1,6,71,1,10
3,1,1,7,1,1,6,1,1,1,18,64,1,10
4,1,1,1,0,1,0,5,0,1,9,19,1,10
2,-1,6,4,-1,0,6,0,1,0,24,6,2,10
0,1,4,9,0,0,0,0,0,0,12,27,1,10
6,-1,3,9,-1,1,3,0,1,0,65,109,1,10
7,1,4,6,-1,-1,2,2,1,1,113,107,2,10
0,1,4,1,-1,1,4,4,1,1,70,61,2,10
8,-1,2,7,0,1,0,1,0,1,18,55,1,10
9,-1,5,3,1,-1,1,3,1,1,64,74,1,10
2,1,1,2,0,1,0,4,0,1,3,8,1,10
1,-1,9,7,0,0,0,0,0,0,24,18,2,10
9,1,5,5,-1,1,5,1,1,1,122,14,2,10
7,1,4,9,-1,0,4,0,1,0,117,6,2,10
6,-1,8,8,1,-1,1,6,1,1,108,18,2,10
5,-1,8,2,0,0,0,0,0,0,9,9,1,10
2,-1,2,1,1,1,3,3,1,1,56,59,1,10
4,1,2,2,-1,-1,2,1,1,1,110,108,2,10
9,-1,5,7,0,1,0,1,0,1,12,58,1,10
0,-1,8,8,1,0,1,0,1,0,126,24,2,10
8,-1,7,1,-1,-1,6,1,1,1,65,73,1,10
8,1,7,7,0,1,0,1,0,1,3,5,1,10
8,-1,2,7,-1,-1,2,3,1,1,72,59,2,10
1,-1,6,6,1,0,3,0,1,0,121,15,2,10
6,-1,1,6,1,-1,6,3,1,1,77,6,2,10
7,-1,5,2,1,1,1,6,1,1,58,77,1,10
1,-1,5,7,-1,-1,5,2,1,1,22,22,1,10
9,1,4,4,1,-1,4,4,1,1,23,123,1,10
9,-1,6,7,1,0,2,0,1,0,63,6,2,10
5,-1,9,7,0,1,0,2,0,1,12,110,1,10
7,-1,7,4,0,0,0,0,0,0,0,9,1,10
0,1,4,9,0,-1,0,4,0,1,12,85,1,10
8,-1,2,2,-1,0,2,0,1,0,72,18,2,10
5,-1,7,3,1,1,2,1,1,1,110,58,2,10
8,-1,4,6,1,0,2,0,1,0,66,6,2,10
2,1,5,1,-1,1,5,1,1,1,69,5,2,10
5,1,2,5,0,1,0,3,0,1,9,6,2,10
9,-1,8,1,0,0,0,0,0,0,3,24,1,10
8,1,1,6,-1,1,1,3,1,1,123,12,2,10
9,1,9,7,-1,-1,6,1,1,1,62,108,1,10
1,1,2,1,1,-1,2,1,1,1,57,52,2,10
3,-1,9,6,0,0,0,0,0,0,18,9,2,10
3,1,1,4,0,0,0,0,0,0,6,3,2,10
2,1,5,8,0,-1,0,3,0,1,9,74,1,10
5,-1,3,3,1,0,1,0,1,0,58,6,2,10
4,1,6,6,1,1,1,2,1,1,58,60,1,10
6,-1,6,7,0,0,0,0,0,0,0,3,1,10
9,1,1,5,0,-1,0,2,0,1,24,116,1,10
8,-1,5,7,1,0,4,0,1,0,67,3,2,10
1,-1,7,3,1,0,2,0,1,0,122,6,2,10
9,1,6,1,1,1,1,3,1,1,11,30,1,10
7,1,6,2,0,-1,0,1,0,1,3,117,1,10
2,-1,2,5,0,0,0,0,0,0,0,9,1,10
4,-1,5,8,1,0,3,0,1,0,109,12,2,10
4,1,7,4,1,-1,1,4,1,1,61,58,2,10
5,-1,7,7,1,-1,2,3,1,1,110,12,2,10
0,1,2,5,1,-1,3,4,1,1,62,73,1,10
4,1,5,8,-1,0,2,0,1,0,57,12,2,10
2,-1,6,1,1,1,2,7,1,1,116,67,2,10
3,1,9,4,0,0,0,0,0,0,18,3,2,10
9,-1,4,4,1,0,2,0,1,0,69,15,2,10
8,-1,9,9,-1,1,7,0,1,0,17,103,1,10
0,-1,9,1,0,0,0,0,0,0,27,3,2,10
6,1,2,9,1,1,4,0,1,0,20,59,1,10
8,-1,3,7,1,0,3,0,1,0,71,3,2,10
5,1,9,4,1,1,0,3,0,1,62,9,2,10
5,1,5,9,1,-1,2,4,1,1,4,70,1,10
9,-1,4,4,1,1,2,3,1,1,69,71,1,10
4,-1,6,1,-1,1,1,2,1,1,8,63,1,10
5,1,2,4,1,-1,3,1,1,1,15,105,1,10
2,-1,7,6,1,0,2,0,1,0,119,12,2,10
6,-1,1,3,0,0,0,0,0,0,15,9,2,10
2,1,2,6,0,-1,0,3,0,1,0,68,1,10
5,-1,7,8,0,-1,0,6,0,1,6,21,1,10
4,1,2,4,-1,0,1,0,1,0,108,0,2,10
0,1,5,4,1,0,4,0,1,0,73,12,2,10
3,1,9,3,0,0,0,0,0,0,18,0,2,10
7,-1,1,3,1,-1,8,2,1,1,84,66,2,10
7,1,2,1,1,-1,7,1,1,1,29,120,1,10
8,-1,3,1,0,-1,0,1,0,1,15,73,1,10
7,1,3,8,-1,-1,2,5,1,1,116,63,2,10
7,-1,5,2,1,0,4,0,1,0,64,15,2,10
2,1,4,7,0,1,0,2,0,1,6,69,1,10
1,-1,6,5,0,-1,0,4,0,1,15,20,1,10
4,-1,4,6,-1,0,4,0,1,0,8,6,2,10
3,-1,5,3,-1,-1,1,1,1,1,8,2,2,10
6,-1,5,9,0,1,0,0,0,0,3,109,1,10
3,1,3,5,0,0,0,0,0,0,0,6,1,10
8,-1,1,3,1,1,6,4,1,1,83,73,2,10
2,1,1,9,0,0,0,0,0,0,3,21,1,10
0,1,7,5,0,1,0,2,0,1,21,69,1,10
5,-1,9,6,1,0,0,0,0,0,112,3,2,10
5,-1,3,6,1,-1,4,6,1,1,64,15,2,10
2,1,6,5,1,1,2,2,1,1,66,63,2,10
3,-1,6,1,-1,0,5,0,1,0,19,6,2,10
2,1,3,8,-1,-1,3,6,1,1,59,80,1,10
5,-1,4,8,-1,1,4,1,1,1,61,111,1,10
2,1,7,8,1,1,2,1,1,1,69,70,1,10
0,1,4,1,0,1,0,6,0,1,12,65,1,10
0,-1,3,8,0,1,0,1,0,1,9,126,1,10
2,1,8,4,1,0,1,0,1,0,70,6,2,10
0,-1,5,1,-1,-1,3,1,1,1,21,5,2,10
0,1,5,2,0,1,0,5,0,1,15,66,1,10
4,1,7,4,1,1,2,2,1,1,63,4,2,10
5,1,3,2,-1,1,2,6,1,1,110,21,2,10
0,1,8,1,-1,-1,1,1,1,1,76,55,2,10
8,-1,5,8,-1,0,2,0,1,0,63,0,2,10
8,1,4,6,-1,0,1,0,1,0,114,6,2,10
2,-1,6,7,-1,-1,2,2,1,1,16,19,1,10
0,-1,4,1,1,-1,3,1,1,1,118,5,2,10
7,-1,4,7,1,0,4,0,1,0,67,0,2,10
0,1,6,1,-1,0,3,0,1,0,74,3,2,10
8,-1,3,8,-1,0,3,0,1,0,71,0,2,10
1,1,4,4,0,1,0,3,0,1,9,65,1,10
3,1,2,7,1,-1,7,5,1,1,17,72,1,10
8,1,6,4,1,1,1,2,1,1,8,16,1,10
9,1,1,6,-1,-1,1,2,1,1,126,113,2,10
4,-1,5,5,0,0,0,0,0,0,3,3,1,10
2,-1,3,3,1,0,3,0,1,0,109,3,2,10
1,1,2,6,0,0,0,0,0,0,3,15,1,10
4,-1,1,5,1,-1,7,1,1,1,73,5,2,10
8,-1,4,6,0,0,0,0,0,0,12,6,2,10
2,-1,6,8,0,0,0,0,0,0,12,18,1,10
9,1,2,2,-1,-1,2,1,1,1,125,123,2,10
1,1,7,8,0,-1,0,6,0,1,18,83,1,10
5,1,1,7,0,1,0,1,0,1,12,58,1,10
3,-1,5,1,1,1,1,4,1,1,108,64,2,10
1,-1,4,4,-1,-1,4,3,1,1,17,15,2,10
4,-1,9,2,0,1,0,1,0,1,15,58,1,10
7,1,7,2,-1,0,4,0,1,0,58,15,2,10
6,1,9,7,1,-1,0,2,0,1,59,57,2,10
0,-1,8,2,-1,0,7,0,1,0,38,6,2,10
9,-1,9,1,1,1,0,8,0,1,50,90,1,10
3,1,3,8,0,1,0,1,0,1,0,67,1,10
4,1,1,3,0,-1,0,1,0,1,9,105,1,10
3,1,8,4,0,1,0,4,0,1,15,61,1,10
5,1,4,8,0,-1,0,1,0,1,3,61,1,10
9,-1,5,7,0,0,0,0,0,0,12,6,2,10
3,-1,6,3,0,-1,0,2,0,1,9,4,2,10
1,1,3,1,-1,-1,1,1,1,1,58,52,2,10
1,-1,4,7,0,-1,0,1,0,1,9,20,1,10
9,-1,2,4,0,1,0,5,0,1,21,75,1,10
3,1,8,4,-1,1,5,2,1,1,75,57,2,10
6,1,3,4,0,-1,0,4,0,1,9,114,1,10
0,1,3,1,1,-1,2,1,1,1,63,55,2,10
0,-1,2,8,-1,0,2,0,1,0,10,24,1,10
1,-1,1,1,0,0,0,0,0,0,0,0,1,10
7,1,7,6,1,1,1,2,1,1,2,7,1,10
6,-1,7,8,1,1,2,1,1,1,107,108,1,10
6,1,7,9,1,0,2,0,1,0,57,9,2,10
3,1,8,5,-1,1,5,4,1,1,75,64,2,10
9,1,6,6,-1,0,6,0,1,0,121,9,2,10
8,-1,5,9,1,1,3,0,1,0,65,103,1,10
3,-1,1,6,1,0,3,0,1,0,62,9,2,10
0,1,8,1,1,-1,1,1,1,1,76,55,2,10
7,1,6,6,0,0,0,0,0,0,3,3,1,10
1,-1,2,6,-1,0,1,0,1,0,5,15,1,10
5,1,9,7,1,-1,0,6,0,1,62,68,1,10
5,1,5,9,0,0,0,0,0,0,0,12,1,10
9,1,2,1,0,0,0,0,0,0,21,24,1,10
4,1,1,4,1,-1,3,4,1,1,15,58,1,10
7,-1,2,4,-1,1,2,3,1,1,69,65,2,10
1,-1,3,9,0,0,0,0,0,0,6,24,1,10
7,-1,6,9,0,-1,0,5,0,1,3,16,1,10
1,1,6,7,-1,1,4,2,1,1,73,72,2,10
7,-1,2,9,-1,1,2,0,1,0,69,106,1,10
3,-1,8,2,0,0,0,0,0,0,15,3,2,10
6,1,5,5,0,1,0,1,0,1,3,5,1,10
6,-1,8,7,-1,-1,4,4,1,1,14,11,2,10
7,-1,2,8,0,1,0,1,0,1,15,105,1,10
5,-1,7,6,-1,1,2,1,1,1,10,105,1,10
8,1,2,4,1,-1,4,4,1,1,26,120,1,10
2,-1,5,4,0,-1,0,3,0,1,9,12,1,10
6,-1,8,6,1,1,1,3,1,1,108,56,2,10
5,-1,8,1,-1,-1,2,1,1,1,13,64,1,10
6,-1,4,6,0,0,0,0,0,0,6,0,2,10
2,1,6,4,1,0,3,0,1,0,68,6,2,10
2,-1,5,2,0,1,0,4,0,1,9,58,1,10
3,1,4,2,0,1,0,7,0,1,3,17,1,10
6,1,3,4,-1,0,1,0,1,0,111,6,2,10
6,-1,1,7,0,1,0,1,0,1,15,105,1,10
3,1,9,5,-1,0,3,0,1,0,74,6,2,10
4,-1,8,4,1,-1,1,1,1,1,114,2,2,10
0,1,1,8,0,0,0,0,0,0,3,24,1,10
9,1,4,6,1,1,4,1,1,1,23,11,2,10
2,-1,9,1,-1,1,8,1,1,1,37,55,1,10
0,1,6,6,0,1,0,2,0,1,18,72,1,10
4,-1,3,7,-1,1,1,2,1,1,55,113,1,10
1,1,8,7,1,0,1,0,1,0,73,18,2,10
8,1,2,4,0,-1,0,2,0,1,18,116,1,10
3,1,5,7,0,-1,0,2,0,1,6,66,1,10
3,-1,8,3,1,1,1,5,1,1,117,60,2,10
5,-1,4,7,1,-1,2,5,1,1,57,16,2,10
5,-1,1,2,0,0,0,0,0,0,12,9,2,10
3,1,5,3,1,-1,4,3,1,1,64,56,2,10
2,1,5,9,0,-1,0,1,0,1,9,73,1,10
0,1,1,3,-1,0,1,0,1,0,55,9,2,10
2,1,1,5,1,1,6,2,1,1,15,63,1,10
4,1,2,6,-1,0,2,0,1,0,110,6,2,10
8,1,9,3,-1,1,2,4,1,1,57,23,2,10
7,1,8,3,-1,0,5,0,1,0,63,12,2,10
0,1,9,3,0,-1,0,2,0,1,27,63,1,10
2,-1,8,3,-1,-1,1,2,1,1,20,7,2,10
7,-1,2,4,1,0,6,0,1,0,77,9,2,10
1,-1,2,3,1,-1,6,1,1,1,115,8,2,10
1,1,4,3,1,1,2,6,1,1,63,68,1,10
7,1,8,5,0,0,0,0,0,0,3,6,1,10
7,1,7,3,1,1,2,1,1,1,4,14,1,10
9,-1,8,3,-1,-1,5,3,1,1,63,74,1,10
2,-1,4,3,0,1,0,4,0,1,6,111,1,10
9,1,8,9,1,-1,1,6,1,1,5,62,1,10
4,-1,8,9,-1,1,2,0,1,0,16,115,1,10
5,-1,1,5,-1,0,1,0,1,0,64,0,2,10
2,-1,3,2,1,1,3,1,1,1,109,52,2,10
8,1,9,1,1,0,0,0,0,0,53,21,2,10
2,1,6,9,1,0,3,0,1,0,68,21,2,10
1,-1,8,4,1,0,1,0,1,0,123,9,2,10
7,1,4,5,0,0,0,0,0,0,9,6,2,10
9,1,8,9,-1,0,3,0,1,0,109,0,2,10
4,-1,1,4,-1,0,1,0,1,0,61,0,2,10
4,1,2,2,-1,-1,2,1,1,1,110,108,2,10
0,1,3,8,-1,1,1,1,1,1,61,76,1,10
8,-1,7,8,1,-1,2,2,1,1,57,4,2,10
8,1,7,7,1,-1,1,2,1,1,5,107,1,10
3,1,7,5,0,1,0,2,0,1,12,60,1,10
8,-1,8,1,1,-1,1,1,1,1,52,73,1,10
8,1,8,6,-1,1,5,3,1,1,60,12,2,10
6,1,4,6,1,1,4,2,1,1,14,4,2,10
7,1,4,2,1,0,1,0,1,0,11,15,1,10
1,1,7,8,1,0,2,0,1,0,72,21,2,10
1,-1,9,9,-1,1,5,0,1,0,34,124,1,10
1,1,2,8,0,1,0,1,0,1,3,73,1,10
9,-1,2,8,-1,1,2,1,1,1,75,55,2,10
5,1,1,1,1,1,6,7,1,1,24,26,1,10
4,1,7,6,-1,0,1,0,1,0,61,6,2,10
6,-1,5,8,-1,0,4,0,1,0,61,6,2,10
8,1,9,1,1,-1,0,1,0,1,53,123,1,10
4,1,5,9,0,1,0,0,0,0,3,65,1,10
6,-1,3,5,0,-1,0,4,0,1,9,61,1,10
3,1,2,8,-1,-1,1,5,1,1,105,75,2,10
3,1,1,9,-1,-1,1,6,1,1,108,80,2,10
9,1,7,1,-1,-1,3,1,1,1,112,126,1,10
1,1,3,4,1,-1,6,2,1,1,68,63,2,10
1,-1,1,6,1,0,8,0,1,0,66,15,2,10
8,1,1,3,1,1,2,2,1,1,25,19,2,10
2,-1,5,4,-1,-1,5,3,1,1,19,12,2,10
1,1,5,3,0,1,0,3,0,1,12,62,1,10
7,-1,5,2,1,1,4,7,1,1,64,79,1,10
6,1,3,1,0,1,0,2,0,1,9,19,1,10
7,1,1,4,-1,0,1,0,1,0,120,9,2,10
2,-1,8,1,-1,0,6,0,1,0,30,3,2,10
4,1,3,7,1,-1,1,3,1,1,5,65,1,10
0,-1,4,1,-1,-1,4,1,1,1,20,5,2,10
5,-1,1,1,0,0,0,0,0,0,12,12,1,10
5,-1,9,1,0,0,0,0,0,0,12,12,1,10
6,1,7,3,-1,1,4,6,1,1,61,21,2,10
9,-1,7,5,1,-1,1,5,1,1,58,72,1,10
1,1,3,5,0,-1,0,1,0,1,6,64,1,10
8,1,8,6,1,-1,1,2,1,1,2,110,1,10
0,1,3,9,0,-1,0,7,0,1,9,91,1,10
7,1,2,3,0,-1,0,3,0,1,15,118,1,10
5,1,8,4,0,-1,0,3,0,1,9,109,1,10
2,1,9,5,1,-1,0,3,0,1,71,65,2,10
7,-1,6,2,1,1,1,5,1,1,55,75,1,10
0,1,8,7,-1,0,6,0,1,0,86,21,2,10
0,-1,8,9,1,1,1,0,1,0,126,127,1,10
7,-1,1,2,-1,-1,1,2,1,1,70,69,2,10
6,-1,2,6,-1,0,1,0,1,0,64,0,2,10
0,1,4,7,1,0,3,0,1,0,68,21,2,10
8,-1,7,6,-1,0,5,0,1,0,63,6,2,10
6,1,3,5,1,0,1,0,1,0,11,3,2,10
2,-1,1,9,-1,0,1,0,1,0,55,21,2,10
7,-1,6,3,0,0,0,0,0,0,3,12,1,10
9,1,7,9,-1,0,1,0,1,0,108,0,2,10
1,-1,7,7,-1,-1,5,5,1,1,28,28,1,10
9,-1,4,3,0,1,0,3,0,1,15,74,1,10
0,-1,9,5,0,0,0,0,0,0,27,15,2,10
7,1,1,9,-1,0,1,0,1,0,120,6,2,10
2,-1,1,4,0,0,0,0,0,0,3,6,1,10
8,-1,9,7,1,0,0,0,0,0,103,3,2,10
7,1,6,9,-1,0,4,0,1,0,111,6,2,10
7,-1,3,5,1,1,2,4,1,1,66,64,2,10
6,-1,8,9,1,0,1,0,1,0,108,9,2,10
2,1,1,1,0,-1,0,1,0,1,3,105,1,10
1,1,7,3,0,-1,0,1,0,1,18,58,1,10
9,-1,7,1,-1,-1,1,1,1,1,58,76,1,10
5,-1,2,3,-1,0,2,0,1,0,63,6,2,10
8,1,3,1,0,1,0,5,0,1,15,31,1,10
2,1,4,9,-1,-1,2,2,1,1,60,75,1,10
4,-1,1,2,0,1,0,2,0,1,9,60,1,10
4,-1,3,4,0,-1,0,4,0,1,3,8,1,10
0,-1,8,9,0,-1,0,5,0,1,24,37,1,10
5,1,4,8,1,-1,2,6,1,1,7,71,1,10
3,1,1,9,1,0,6,0,1,0,18,18,1,10
1,1,3,7,0,-1,0,1,0,1,6,70,1,10
4,1,4,1,0,-1,0,1,0,1,0,111,1,10
2,1,1,3,0,0,0,0,0,0,3,3,1,10
4,-1,9,7,1,1,0,1,0,1,115,111,2,10
3,-1,6,9,-1,0,1,0,1,0,11,18,1,10
9,1,4,1,1,1,5,7,1,1,25,38,1,10
8,-1,2,8,-1,-1,2,7,1,1,72,14,2,10
1,-1,7,7,0,-1,0,5,0,1,18,28,1,10
4,-1,5,6,-1,1,4,3,1,1,11,112,1,10
8,-1,9,6,1,1,0,1,0,1,103,58,2,10
2,-1,1,3,1,0,5,0,1,0,63,3,2,10
7,1,1,9,1,0,4,0,1,0,26,6,2,10
9,-1,9,7,1,-1,0,5,0,1,50,66,1,10
4,1,4,7,-1,1,2,1,1,1,54,61,1,10
0,-1,5,6,1,-1,1,5,1,1,117,28,2,10
2,1,1,9,-1,1,1,0,1,0,105,71,2,10
2,-1,7,3,-1,0,3,0,1,0,21,3,2,10
4,-1,9,2,-1,1,6,1,1,1,27,58,1,10
3,1,1,8,0,1,0,1,0,1,6,67,1,10
2,1,3,4,0,1,0,5,0,1,3,66,1,10
2,1,7,2,0,-1,0,1,0,1,15,52,1,10
6,-1,3,1,1,0,4,0,1,0,67,15,2,10
7,1,4,9,0,-1,0,6,0,1,9,68,1,10
